Element,h_index,g_index,m_index,TC,NP,PY_start
BREJAO GL,1,1,0.167,23,1,2018
BRENNAN LA,1,1,0.2,2,1,2019
BRERETON TM,1,1,0.2,29,1,2019
BREWER MJ,1,1,0.1,5,1,2014
BREWER SK,1,2,0.143,13,2,2017
BRIGGS-GONZALEZ V,1,1,0.2,12,1,2019
BRINCK KW,1,1,0.143,4,1,2017
BRITTAIN S,1,1,0.25,13,1,2020
BROADBENT E,1,1,0.25,10,1,2020
BRODIE BS,1,1,0.2,7,1,2019
BROMMER JE,1,1,0.143,15,1,2017
BROOK BW,1,1,0.111,2,1,2015
BROSI B,1,1,0.25,4,1,2020
BROWN DJ,1,1,0.2,6,1,2019
BROWNE L,1,1,0.25,5,1,2020
BRUELHEIDE H,1,1,0.333,17,1,2021
BRUSA JL,1,1,0.25,5,1,2020
BRUSSEE BE,1,1,0.167,11,1,2018
BUCKLAND ST,1,1,0.125,11,1,2016
BUCKLEY DS,1,1,0.125,21,1,2016
BUDY P,1,1,0.111,30,1,2015
BUEDI EB,1,1,0.077,36,1,2011
BULLOCK JM,1,1,0.125,269,1,2016
BUMP JK,1,1,0.25,15,1,2020
BUNN SE,1,1,0.091,18,1,2013
BURBACH K,1,1,0.2,48,1,2019
BURKHALTER C,1,1,0.167,3,1,2018
BURNETT RD,1,1,0.111,14,1,2015
BURNS T,1,1,0.5,1,1,2022
BUSH CL,1,1,0.143,3,1,2017
BUSSO JM,1,1,0.2,19,1,2019
BUSTAMANTE J,1,1,0.071,7,1,2010
BUXTON AS,1,1,0.333,5,1,2021
BUZZARD PJ,1,1,0.167,3,1,2018
BYERLY PA,1,1,0.25,2,1,2020
CABELLO J,1,1,0.333,2,1,2021
CABODEVILLA X,1,2,0.333,6,2,2021
CABRERA J,1,1,0.25,13,1,2020
CACCIANIGA M,1,1,0.125,10,1,2016
