Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
2611,"zielinski, william j.",6,6,1,13,6,1,0,40,1,15,0.000058
2612,"zimmerman, christian e.",6,6,1,26,6,0.421053,0,3,1,15,0.000074
2613,"zimmermann, fridolin",4,4,1,20,4,0.121332,0,0,1,6,0.000073
2614,"zipkin, e. f.",39,46,13,532,39,0.227917,0.048996,0,0.095816,71,0.001367
2615,"zmihorski, michal",6,6,1,15,6,1,0,63,1,15,0.000058
2616,"zobell, vanessa m.",1,1,1,1,1,0.151376,0,0,0,0,0.000678
2617,"zollner, patrick a.",2,2,1,8,2,1,0,171,1,1,0.000008
2618,"zou, fasheng",5,6,2,0,5,0.128196,0,0,0.7,7,0.000059
2619,"zuanon, jansen",3,3,1,17,3,0.175065,0,0,1,3,0.000146
2620,"zuckerberg, benjamin",10,10,3,91,10,0.147461,0.00491,0,0.311111,14,0.000085
2621,"zulian, viviane",2,2,1,9,2,0.194766,0,0,1,1,0.002848
